seed,model,selection_type,scenario,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,total_cost
6,baseline,cost_based,low_incentive,0.15,0.6529453513129879,0.4271229404309252,0.9010695187165776,0.5795356835769562,0.8328799503991319,0.6295267224055839,24660.0
6,baseline,cost_based,medium_incentive,0.16,0.6621717530163236,0.4341085271317829,0.8983957219251337,0.5853658536585366,0.8328799503991319,0.6295267224055839,37680.0
6,baseline,cost_based,high_incentive,0.31,0.758694109297374,0.5318352059925093,0.7593582887700535,0.6255506607929515,0.8328799503991319,0.6295267224055839,57000.0
6,balanced,max_f1,not_applicable,0.64,0.7835344215755855,0.5796766743648961,0.6711229946524064,0.6220570012391574,0.8322831899558243,0.6265104308326228,
6,balanced,cost_based,low_incentive,0.33,0.6529453513129879,0.427307206068268,0.9037433155080212,0.5802575107296137,0.8322831899558243,0.6265104308326228,24390.0
6,balanced,cost_based,medium_incentive,0.4,0.680624556422995,0.4478021978021978,0.8716577540106952,0.5916515426497277,0.8322831899558243,0.6265104308326228,38520.0
6,balanced,cost_based,high_incentive,0.53,0.7544357700496807,0.525,0.786096256684492,0.6295503211991434,0.8322831899558243,0.6265104308326228,55920.0
7,baseline,max_f1,not_applicable,0.27,0.7686302342086586,0.5422535211267606,0.8235294117647058,0.6539278131634819,0.8579451807073291,0.6740654288243528,
7,baseline,cost_based,low_incentive,0.09,0.5990063875088716,0.3947078280044101,0.9572192513368984,0.5589383294301327,0.8579451807073291,0.6740654288243528,21270.0
7,baseline,cost_based,medium_incentive,0.25,0.7551454932576295,0.5243697478991597,0.8342245989304813,0.6439628482972136,0.8579451807073291,0.6740654288243528,35580.0
7,baseline,cost_based,high_incentive,0.27,0.7686302342086586,0.5422535211267606,0.8235294117647058,0.6539278131634819,0.8579451807073291,0.6740654288243528,51000.0
7,balanced,max_f1,not_applicable,0.52,0.7707594038325053,0.5462794918330308,0.8048128342245989,0.6508108108108108,0.8574000878348704,0.6721139844163224,
7,balanced,cost_based,low_incentive,0.17,0.553584102200142,0.3697650663942798,0.9679144385026738,0.5351071692535108,0.8574000878348704,0.6721139844163224,22110.0
7,balanced,cost_based,medium_incentive,0.48,0.7501774308019872,0.5183946488294314,0.8288770053475936,0.6378600823045267,0.8574000878348704,0.6721139844163224,36480.0
7,balanced,cost_based,high_incentive,0.52,0.7707594038325053,0.5462794918330308,0.8048128342245989,0.6508108108108108,0.8574000878348704,0.6721139844163224,51900.0
8,baseline,max_f1,not_applicable,0.31,0.7381121362668559,0.5045045045045045,0.7486631016042781,0.6027987082884823,0.8278720710945776,0.6360753256877217,
8,baseline,cost_based,low_incentive,0.14,0.6245564229950319,0.4065138721351025,0.9010695187165776,0.5602660016625104,0.8278720710945776,0.6360753256877217,25860.0
8,baseline,cost_based,medium_incentive,0.15,0.6366217175301633,0.4148148148148148,0.8983957219251337,0.5675675675675675,0.8278720710945776,0.6360753256877217,39840.0
8,baseline,cost_based,high_incentive,0.31,0.7381121362668559,0.5045045045045045,0.7486631016042781,0.6027987082884823,0.8278720710945776,0.6360753256877217,61200.0
8,balanced,max_f1,not_applicable,0.54,0.7345635202271115,0.5,0.7620320855614974,0.6038135593220338,0.8268903872484434,0.6324232363461096,
8,balanced,cost_based,low_incentive,0.34,0.6401703335699077,0.4169787765293383,0.893048128342246,0.5685106382978723,0.8268903872484434,0.6324232363461096,26010.0
8,balanced,cost_based,medium_incentive,0.34,0.6401703335699077,0.4169787765293383,0.893048128342246,0.5685106382978723,0.8268903872484434,0.6324232363461096,40020.0
8,balanced,cost_based,high_incentive,0.53,0.730305180979418,0.4948453608247423,0.7700534759358288,0.602510460251046,0.8268903872484434,0.6324232363461096,61080.0
9,baseline,max_f1,not_applicable,0.3,0.7601135557132718,0.5344827586206896,0.7459893048128342,0.6227678571428571,0.8436229300679429,0.6469277287324854,
9,baseline,cost_based,low_incentive,0.06,0.5471965933286018,0.3674698795180723,0.9786096256684492,0.5343065693430656,0.8436229300679429,0.6469277287324854,21300.0
9,baseline,cost_based,medium_incentive,0.23,0.730305180979418,0.4952076677316294,0.8288770053475936,0.62,0.8436229300679429,0.6469277287324854,38160.0
9,baseline,cost_based,high_incentive,0.27,0.7530163236337828,0.522887323943662,0.7941176470588235,0.6305732484076433,0.8436229300679429,0.6469277287324854,55620.0
9,balanced,max_f1,not_applicable,0.54,0.758694109297374,0.532319391634981,0.7486631016042781,0.6222222222222222,0.8439148518432406,0.645011272447287,
9,balanced,cost_based,low_incentive,0.2,0.5833924769339958,0.3870625662778367,0.9759358288770054,0.554290053151101,0.8439148518432406,0.645011272447287,20040.0
9,balanced,cost_based,medium_incentive,0.44,0.7246273953158269,0.4890282131661442,0.8342245989304813,0.616600790513834,0.8439148518432406,0.645011272447287,38160.0
9,balanced,cost_based,high_incentive,0.53,0.7544357700496807,0.5260223048327137,0.7566844919786097,0.6206140350877193,0.8439148518432406,0.645011272447287,57900.0
100,baseline,max_f1,not_applicable,0.35,0.7643718949609652,0.5426829268292683,0.713903743315508,0.6166281755196305,0.8359257537006896,0.629646515471633,
100,baseline,cost_based,low_incentive,0.1,0.596167494677076,0.3910614525139664,0.9358288770053476,0.5516154452324665,0.8359257537006896,0.629646515471633,23550.0
100,baseline,cost_based,medium_incentive,0.15,0.6557842441447835,0.4308841843088418,0.9251336898395722,0.5879354290569244,0.8359257537006896,0.629646515471633,35820.0
100,baseline,cost_based,high_incentive,0.35,0.7643718949609652,0.5426829268292683,0.713903743315508,0.6166281755196305,0.8359257537006896,0.629646515471633,59100.0
100,balanced,max_f1,not_applicable,0.59,0.7643718949609652,0.5416666666666666,0.7299465240641712,0.621867881548975,0.8363003435893461,0.6277321910064657,
100,balanced,cost_based,low_incentive,0.25,0.6039744499645139,0.3956916099773243,0.9331550802139036,0.5557324840764332,0.8363003435893461,0.6277321910064657,23490.0
100,balanced,cost_based,medium_incentive,0.33,0.6543647977288858,0.4298136645962733,0.9251336898395722,0.5869380831212893,0.8363003435893461,0.6277321910064657,35940.0
100,balanced,cost_based,high_incentive,0.59,0.7643718949609652,0.5416666666666666,0.7299465240641712,0.621867881548975,0.8363003435893461,0.6277321910064657,58020.0
123,baseline,max_f1,not_applicable,0.3,0.7679205110007097,0.5447619047619048,0.7647058823529411,0.6362625139043382,0.8436862228422332,0.6488791307911601,
123,baseline,cost_based,low_incentive,0.07,0.5684882895670689,0.3765822784810126,0.9545454545454546,0.540090771558245,0.8436862228422332,0.6488791307911601,22830.0
123,baseline,cost_based,medium_incentive,0.15,0.6706884315117104,0.4415584415584415,0.9090909090909092,0.5944055944055944,0.8436862228422332,0.6488791307911601,36000.0
123,baseline,cost_based,high_incentive,0.3,0.7679205110007097,0.5447619047619048,0.7647058823529411,0.6362625139043382,0.8436862228422332,0.6488791307911601,55080.0
123,balanced,max_f1,not_applicable,0.56,0.7700496806245565,0.548828125,0.7513368983957219,0.6343115124153499,0.8431462967268593,0.6454533110774281,
123,balanced,cost_based,low_incentive,0.17,0.5635202271114266,0.3743482794577685,0.9598930481283422,0.5386346586646662,0.8431462967268593,0.6454533110774281,22500.0
123,balanced,cost_based,medium_incentive,0.34,0.6706884315117104,0.4412532637075718,0.9037433155080212,0.5929824561403508,0.8431462967268593,0.6454533110774281,36480.0
123,balanced,cost_based,high_incentive,0.56,0.7700496806245565,0.548828125,0.7513368983957219,0.6343115124153499,0.8431462967268593,0.6454533110774281,55620.0
777,baseline,max_f1,not_applicable,0.38,0.7863733144073811,0.5842956120092379,0.6764705882352942,0.6270136307311028,0.8513627321811464,0.6604994350824118,
777,baseline,cost_based,low_incentive,0.15,0.6635911994322214,0.43734335839599,0.9331550802139036,0.5955631399317406,0.8513627321811464,0.6604994350824118,20970.0
777,baseline,cost_based,medium_incentive,0.15,0.6635911994322214,0.43734335839599,0.9331550802139036,0.5955631399317406,0.8513627321811464,0.6604994350824118,34440.0
777,baseline,cost_based,high_incentive,0.26,0.7615330021291696,0.53156146179402,0.8556149732620321,0.6557377049180327,0.8513627321811464,0.6604994350824118,50040.0
777,balanced,max_f1,not_applicable,0.56,0.7735982966643009,0.551789077212806,0.7834224598930482,0.6475138121546962,0.8510578935131365,0.658836463538343,
777,balanced,cost_based,low_incentive,0.32,0.6564939673527325,0.4319306930693069,0.9331550802139036,0.5905245346869712,0.8510578935131365,0.658836463538343,21270.0
777,balanced,cost_based,medium_incentive,0.34,0.6635911994322214,0.4371859296482412,0.93048128342246,0.5948717948717949,0.8510578935131365,0.658836463538343,34680.0
777,balanced,cost_based,high_incentive,0.56,0.7735982966643009,0.551789077212806,0.7834224598930482,0.6475138121546962,0.8510578935131365,0.658836463538343,52860.0
2024,baseline,max_f1,not_applicable,0.27,0.7530163236337828,0.5221088435374149,0.820855614973262,0.6382536382536382,0.8412048877522023,0.6238735470307089,
2024,baseline,cost_based,low_incentive,0.13,0.6408800567778566,0.4210526315789473,0.9411764705882352,0.5818181818181818,0.8412048877522023,0.6238735470307089,21120.0
2024,baseline,cost_based,medium_incentive,0.13,0.6408800567778566,0.4210526315789473,0.9411764705882352,0.5818181818181818,0.8412048877522023,0.6238735470307089,35640.0
2024,baseline,cost_based,high_incentive,0.27,0.7530163236337828,0.5221088435374149,0.820855614973262,0.6382536382536382,0.8412048877522023,0.6238735470307089,53820.0
2024,balanced,max_f1,not_applicable,0.54,0.7643718949609652,0.5376344086021505,0.8021390374331551,0.6437768240343348,0.8407708801570695,0.6224297828401054,
2024,balanced,cost_based,low_incentive,0.24,0.603264726756565,0.3973362930077691,0.9572192513368984,0.5615686274509804,0.8407708801570695,0.6224297828401054,21090.0
2024,balanced,cost_based,medium_incentive,0.32,0.6564939673527325,0.4322660098522167,0.9385026737967914,0.5919055649241147,0.8407708801570695,0.6224297828401054,34560.0
2024,balanced,cost_based,high_incentive,0.45,0.7239176721078779,0.488479262672811,0.8502673796791443,0.6204878048780488,0.8407708801570695,0.6224297828401054,56760.0
